channelId,period,chats,memberChats,uniqueChatters,uniqueMembers,nonMemberPercentage
UCDqI2jOz0weumE8s7paEk6g,2021-03,245491,70028,18051,969,94.6318763503407
UCE0KFKU_O2FkHljyayB7kXw,2021-03,2352,581,117,18,84.61538461538461
UCEYU-OEI9FnbeC5hna_cbhw,2021-03,3415,0,832,0,100.0
UCFKOVgVbGmX65RxO3EtH3iw,2021-03,1441198,602261,33220,4168,87.45334136062613
UCFTLzh12_nrtzqBPsTCqenA,2021-03,167924,51382,14549,1169,91.96508351089422
UCFUZ8RD8cYLnOotAPf0qLDg,2021-03,7332,0,719,0,100.0
UCFahBR2wixu0xOex84bXFvg,2021-03,162373,57640,7133,437,93.87354549278004
UCFrH3bfn7gDeV29wrHHM80g,2021-03,3391,1000,120,13,89.16666666666667
UCFsWaTQ7kT76jNNGeGIKNSA,2021-03,82068,24896,1668,201,87.94964028776978
UCFv2z4iM5vHrS8bZPq4fHQQ,2021-03,60575,25205,2759,656,76.22326930047119
UCGFD_8TRHhlpjfqGhLUSk4g,2021-03,117,0,21,0,100.0
UCGNI4MENvnsymYjKiZwv9eg,2021-03,75669,18273,2990,258,91.37123745819397
UCGYAYLDE7TZiiC8U6teciDQ,2021-03,282464,56432,11349,644,94.32549123270772
UCGw7lrT-rVZCWHfdG9Frcgg,2021-03,43891,13788,3835,411,89.28292046936114
UCH11P1Hq4PXdznyw1Hhr3qw,2021-03,115153,42950,2506,261,89.58499600957701
UCH1B9AR8sfWJVf9zcu9rbGg,2021-03,15631,6385,494,97,80.36437246963563
UCHBhnG2G-qN0JrrWmMO2FTA,2021-03,448595,47907,12438,382,96.92876668274643
UCHK5wkevfaGrPr7j3g56Jmw,2021-03,47848,8904,3987,125,96.86481063456233
UCHVXbQzkl3rDfsXWo8xi2qw,2021-03,377567,114907,18893,1770,90.6314508018843
UCHX7YpFG8rVwhsHCx34xt7w,2021-03,36500,11275,2056,128,93.77431906614785
UCHccxX2p_9DB_HPnXSb2omw,2021-03,9155,4277,585,73,87.52136752136752
UCHjeZylSgXDSnor8wUnwU_g,2021-03,35910,0,2274,0,100.0
