channelId,period,superChats,uniqueSuperChatters,totalSC,averageSC
UCt0clH12Xk1-Ej5PXKGfdPA,2021-03,59,42,45201,766
UChgPVLjqugDQpRLWvC7zzig,2021-03,2,2,878,439
UCXU7YYxy_iQd3ulXyO-zC2w,2021-03,371,316,1100034,2965
UC_-vS9T3_X52HWMhIBsHouw,2021-03,63,27,98398,1561
UCv2byPgvl60Mh1vQBnXuksA,2021-03,69,39,181419,2629
UC3lNFeJiTq6L3UWoz4g1e-A,2021-03,21,11,59050,2811
UCg8TPE5nLLOqlNnBivmQwww,2021-03,2,2,754,377
UCLhUvJ_wO9hOvv_yYENu4fQ,2021-03,105,66,185459,1766
UCj_KuUzpOXAliYEesJwdrbw,2021-03,152,87,77724,511
UCL_O_HXgLJx3Auteer0n0pA,2021-03,107,53,64551,603
UC1ZV7KBscK0EMoJKFu1DnDg,2021-03,91,53,83052,912
UCsA8nM8e5--IdeRaxZwTWHg,2021-03,183,69,191113,1044
UCp-5t9SrOQwXMU7iIjQfARg,2021-03,573,365,389310,679
UCnZUaScptUZ7vBeV-4Vf4nw,2021-03,81,37,50530,623
UCMzxQ58QL4NNbWghGymtHvw,2021-03,142,73,147742,1040
UCAoy6rzhSf4ydcYjJw3WoVg,2021-03,125,87,88479,707
UCHVXbQzkl3rDfsXWo8xi2qw,2021-03,1190,839,1822585,1531
UCnzZmBOSrQf2wDBbnsDajVw,2021-03,26,12,19408,746
UCJA_J8CpKRT78Sr1bylS1vA,2021-03,21,10,43277,2060
UC7fk0CB07ly8oSl0aqKkqFg,2021-03,1114,651,1628912,1462
UC0QzO6nK1cEDZvJSt2769Zw,2021-03,9,7,8870,985
UCXTpFs_3PqI41qX2d9tL2Rw,2021-03,1147,497,1217189,1061
UCPvGypSgfDkVe7JG2KygK7A,2021-03,67,42,71351,1064
UClS6k3w1sPwlVFqK3-yID5A,2021-03,2,2,1474,737
UCBe_jjkUHhVNAj46bukAbJA,2021-03,21,10,13429,639
UCigpSsgPbdCxXtbfGksFIYQ,2021-03,7,6,7160,1022
UCA3WE2WRSpoIvtnoVGq4VAw,2021-03,21,10,20331,968
UC5yckZliCkuaEFbqzLBD7hQ,2021-03,7,6,2319,331
UCeShTCVgZyq2lsBW9QwIJcw,2021-03,241,110,210062,871
UCZ5dNZsqBjBzbBl0l_IdmXg,2021-03,2,2,1054,527
UCjFu-9GHnabzSFRAYm1B9Dw,2021-03,34,4,18387,540
UCRV9d6YCYIMUszK-83TwxVA,2021-03,80,73,168866,2110
UC6oDys1BGgBsIC3WhG1BovQ,2021-03,99,56,90062,909
UCmqrvfLMws-GLGHQcB5dasg,2021-03,8,6,6844,855
UCXRlIK3Cw_TJIQC5kSJJQMg,2021-03,1384,821,1928858,1393
UCX7YkU9nEeaoZbkVLVajcMg,2021-03,206,178,439148,2131
UCpnvhOIJ6BN-vPkYU9ls-Eg,2021-03,228,73,143708,630
UC7yqc24BjJwi3PoqhXrx6og,2021-03,63,41,39870,632
UC6TfqY40Xt1Y0J-N18c85qQ,2021-03,8,7,16134,2016
UCjGE11ZnF0JSR8egVAwh-3A,2021-03,22,17,32116,1459
UC3EhsuKdEkI99TWZwZgWutg,2021-03,133,97,135216,1016
UCK9V2B22uJYu3N7eR_BT9QA,2021-03,750,365,554252,739
